t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,0,0.0,0.0,0.0,0.0,events/second
1781367780,0,0.0,0.0,0.0,0.0,events/second
1781367810,0,0.0,0.0,0.0,0.0,events/second
1781367840,0,0.0,0.0,0.0,0.0,events/second
1781367870,0,0.0,0.0,0.0,0.0,events/second
1781367900,0,0.0,0.0,0.0,0.0,events/second
1781367930,0,0.0,0.0,0.0,0.0,events/second
1781367960,0,0.0,0.0,0.0,0.0,events/second
1781367990,0,0.0,0.0,0.0,0.0,events/second
1781368020,0,0.0,0.0,0.0,0.0,events/second
1781368050,0,0.0,0.0,0.0,0.0,events/second
1781368080,0,0.0,0.0,0.0,0.0,events/second
1781368110,0,0.0,0.0,0.0,0.0,events/second
1781368140,0,0.0,0.0,0.0,0.0,events/second
1781368170,0,0.0,0.0,0.0,0.0,events/second
1781368200,0,0.0,0.0,0.0,0.0,events/second
1781368230,0,0.0,0.0,0.0,0.0,events/second
1781368260,0,0.0,0.0,0.0,0.0,events/second
1781368290,0,0.0,0.0,0.0,0.0,events/second
1781368320,0,0.0,0.0,0.0,0.0,events/second
1781368350,0,0.0,0.0,0.0,0.0,events/second
1781368380,0,0.0,0.0,0.0,0.0,events/second
1781368410,0,0.0,0.0,0.0,0.0,events/second
1781368440,0,0.0,0.0,0.0,0.0,events/second
1781368470,0,0.0,0.0,0.0,0.0,events/second
1781368500,0,0.0,0.0,0.0,0.0,events/second
1781368530,0,0.0,0.0,0.0,0.0,events/second
1781368560,0,0.0,0.0,0.0,0.0,events/second
1781368590,0,0.0,0.0,0.0,0.0,events/second
1781368621,0,0.0,0.0,0.0,0.0,events/second
1781368651,0,0.0,0.0,0.0,0.0,events/second
1781368681,0,0.0,0.0,0.0,0.0,events/second
1781368711,0,0.0,0.0,0.0,0.0,events/second
1781368741,0,0.0,0.0,0.0,0.0,events/second
1781368771,0,0.0,0.0,0.0,0.0,events/second
1781368801,0,0.0,0.0,0.0,0.0,events/second
1781368831,0,0.0,0.0,0.0,0.0,events/second
1781368861,0,0.0,0.0,0.0,0.0,events/second
1781368891,0,0.0,0.0,0.0,0.0,events/second
1781368921,0,0.0,0.0,0.0,0.0,events/second
1781368951,0,0.0,0.0,0.0,0.0,events/second
1781368981,0,0.0,0.0,0.0,0.0,events/second
1781369011,0,0.0,0.0,0.0,0.0,events/second
1781369041,0,0.0,0.0,0.0,0.0,events/second
1781369071,0,0.0,0.0,0.0,0.0,events/second
1781369101,0,0.0,0.0,0.0,0.0,events/second
1781369131,0,0.0,0.0,0.0,0.0,events/second
1781369161,0,0.0,0.0,0.0,0.0,events/second
1781369191,0,0.0,0.0,0.0,0.0,events/second
1781369221,0,0.0,0.0,0.0,0.0,events/second
1781369251,0,0.0,0.0,0.0,0.0,events/second
1781369281,0,0.0,0.0,0.0,0.0,events/second
1781369311,0,0.0,0.0,0.0,0.0,events/second
1781369341,0,0.0,0.0,0.0,0.0,events/second
1781369371,0,0.0,0.0,0.0,0.0,events/second
1781369401,0,0.0,0.0,0.0,0.0,events/second
1781369431,1,4.3436858623616473E-4,0.0,0.0,0.0,events/second
1781369461,1,4.2877931151951224E-4,0.0,0.0,0.0,events/second
1781369491,1,4.233312914313967E-4,0.0,0.0,0.0,events/second
1781369521,1,4.18019544021637E-4,0.0,0.0,0.0,events/second
1781371260,15,0.5679185341610703,0.0,0.0,0.0,events/second
1781371290,15,0.2652853013426142,0.0,0.0,0.0,events/second
1781371320,15,0.17328101238696778,0.0,0.0,0.0,events/second
1781371350,15,0.12865204937062533,0.0,0.0,0.0,events/second
1781371380,15,0.1023180010813703,0.0,0.0,0.0,events/second
1781371410,15,0.08492839022713748,0.0,0.0,0.0,events/second
1781371440,22,0.10646856972301684,0.0,0.0,0.0,events/second
1781371470,22,0.09295598602342188,0.0,0.0,0.0,events/second
1781371500,22,0.08248233604687534,0.0,0.0,0.0,events/second
1781371530,22,0.0741374829146506,0.0,0.0,0.0,events/second
1781371560,22,0.06732839801180036,0.0,0.0,0.0,events/second
1781371590,22,0.0616637152744813,0.0,0.0,0.0,events/second
1781371620,22,0.05687865861015905,0.0,0.0,0.0,events/second
1781371650,22,0.05278303389029964,0.0,0.0,0.0,events/second
1781371680,22,0.049236415583028235,0.0,0.0,0.0,events/second
1781371710,22,0.046138151877538155,0.0,0.0,0.0,events/second
1781371740,22,0.04340577762156249,0.0,0.0,0.0,events/second
1781371770,22,0.04097818044474358,0.0,0.0,0.0,events/second
1781371800,22,0.03880799273231854,0.0,0.0,0.0,events/second
1781371830,22,0.036856022467565315,0.0,0.0,0.0,events/second
1781371860,22,0.035091310667226046,0.0,0.0,0.0,events/second
1781371890,22,0.03348737213998457,0.0,0.0,0.0,events/second
1781371920,22,0.03202415318461499,0.0,0.0,0.0,events/second
1781371950,25,0.03486790829976159,0.0,0.0,0.0,events/second
1781371980,25,0.03346670808010259,0.0,0.0,0.0,events/second
1781372010,25,0.03217387423854057,0.0,0.0,0.0,events/second
1781372040,25,0.030977556587273844,0.0,0.0,0.0,events/second
1781372070,25,0.029866926232842993,0.0,0.0,0.0,events/second
1781372100,25,0.028832662294925777,0.0,0.0,0.0,events/second
1781372130,25,0.02786775152604075,0.0,0.0,0.0,events/second
1781372160,25,0.026965443641272582,0.0,0.0,0.0,events/second
1781372190,25,0.0261197595482513,0.0,0.0,0.0,events/second
1781372220,25,0.025325324781380953,0.0,0.0,0.0,events/second
1781372250,26,0.025561176659296803,0.0,0.0,0.0,events/second
1781372280,26,0.024828645926170487,0.0,0.0,0.0,events/second
1781372580,6,0.24815692302290124,0.0,0.0,0.0,events/second
1781372611,6,0.10968231132744947,0.0,0.0,0.0,events/second
1781372641,13,0.15341866263776355,0.0,0.0,0.0,events/second
1781372671,13,0.1132925316961784,0.0,0.0,0.0,events/second
1781372701,13,0.08980656931932066,0.0,0.0,0.0,events/second
1781372731,14,0.08010252363195237,0.0,0.0,0.0,events/second
1781372761,15,0.0732405144119989,0.0,0.0,0.0,events/second
1781372791,18,0.07664903911653152,0.0,0.0,0.0,events/second
1781372821,18,0.06796447140643691,0.0,0.0,0.0,events/second
1781372851,18,0.0610432904083709,0.0,0.0,0.0,events/second
1781372881,18,0.05540209599031664,0.0,0.0,0.0,events/second
1781373780,5,0.26443579882765245,0.0,0.0,0.0,events/second
1781373810,5,0.10198635873299858,0.0,0.0,0.0,events/second
1781373840,6,0.07590899906725299,0.0,0.0,0.0,events/second
1781373870,6,0.05501333899261664,0.0,0.0,0.0,events/second
1781373900,13,0.09347124291422368,0.0,0.0,0.0,events/second
