t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,1,0.03775965545069594,0.0,0.0,0.0,events/second
1781371290,1,0.017685072533238158,0.0,0.0,0.0,events/second
1781371320,1,0.011551671785953668,0.0,0.0,0.0,events/second
1781371350,1,0.008576698496864632,0.0,0.0,0.0,events/second
1781371380,1,0.006821172894744831,0.0,0.0,0.0,events/second
1781371410,1,0.005661835505470103,0.0,0.0,0.0,events/second
1781371440,1,0.004839395747626828,0.0,0.0,0.0,events/second
1781371470,1,0.004225243548911248,0.0,0.0,0.0,events/second
1781371500,1,0.003749055785772762,0.0,0.0,0.0,events/second
1781371530,1,0.003369868011240588,0.0,0.0,0.0,events/second
1781371560,1,0.0030603609383814834,0.0,0.0,0.0,events/second
1781371590,1,0.002802877480212607,0.0,0.0,0.0,events/second
1781371620,1,0.002585386076813274,0.0,0.0,0.0,events/second
1781371650,1,0.0023992118063308975,0.0,0.0,0.0,events/second
1781371680,1,0.002238012734427187,0.0,0.0,0.0,events/second
1781371710,1,0.0020971822079915194,0.0,0.0,0.0,events/second
1781371740,1,0.0019729712881248135,0.0,0.0,0.0,events/second
1781371770,1,0.001862639030881355,0.0,0.0,0.0,events/second
1781371800,1,0.0017639855395577856,0.0,0.0,0.0,events/second
1781371830,1,0.0016752724594818868,0.0,0.0,0.0,events/second
1781371860,1,0.001595054869507888,0.0,0.0,0.0,events/second
1781371890,1,0.0015221483914986005,0.0,0.0,0.0,events/second
1781371920,1,0.0014556411750480732,0.0,0.0,0.0,events/second
1781371950,1,0.0013947142572073425,0.0,0.0,0.0,events/second
1781371980,1,0.001338666354838083,0.0,0.0,0.0,events/second
1781372010,1,0.0012869508830813405,0.0,0.0,0.0,events/second
1781372040,1,0.0012391005613772105,0.0,0.0,0.0,events/second
1781372070,1,0.0011946732135829198,0.0,0.0,0.0,events/second
1781372100,1,0.0011533035803137665,0.0,0.0,0.0,events/second
1781372130,1,0.001114708480608251,0.0,0.0,0.0,events/second
1781372160,1,0.0010786150757335802,0.0,0.0,0.0,events/second
1781372190,1,0.0010447892355467032,0.0,0.0,0.0,events/second
1781372220,1,0.001013011057804325,0.0,0.0,0.0,events/second
1781372250,1,9.831212561691855E-4,0.0,0.0,0.0,events/second
1781372280,1,9.549472846256548E-4,0.0,0.0,0.0,events/second
1781372580,1,0.04084935164746477,0.0,0.0,0.0,events/second
1781372611,1,0.018280461346050405,0.0,0.0,0.0,events/second
1781372641,1,0.011801044324448699,0.0,0.0,0.0,events/second
1781372671,1,0.008714846228669075,0.0,0.0,0.0,events/second
1781372701,1,0.0069081728907876725,0.0,0.0,0.0,events/second
1781372731,1,0.0057215839837246665,0.0,0.0,0.0,events/second
1781372761,1,0.0048826430951719865,0.0,0.0,0.0,events/second
1781372791,1,0.004258268650495126,0.0,0.0,0.0,events/second
1781372821,1,0.003775801402246477,0.0,0.0,0.0,events/second
1781372851,1,0.0033912621936113218,0.0,0.0,0.0,events/second
1781372881,1,0.0030778965606766033,0.0,0.0,0.0,events/second
1781373780,1,0.052757340228985004,0.0,0.0,0.0,events/second
1781373810,1,0.020396241370849985,0.0,0.0,0.0,events/second
1781373840,1,0.012650223843307365,0.0,0.0,0.0,events/second
1781373870,1,0.009168689534773228,0.0,0.0,0.0,events/second
1781373900,1,0.007189683670720779,0.0,0.0,0.0,events/second
1781373930,1,0.005913805250016803,0.0,0.0,0.0,events/second
1781373960,1,0.005021921758143632,0.0,0.0,0.0,events/second
1781373990,1,0.004363832206078381,0.0,0.0,0.0,events/second
1781374020,1,0.00385841507305282,0.0,0.0,0.0,events/second
1781374050,1,0.003457769472200138,0.0,0.0,0.0,events/second
1781374080,1,0.003132634473971188,0.0,0.0,0.0,events/second
1781374110,1,0.0028634020601531265,0.0,0.0,0.0,events/second
1781374200,1,0.037560850784971636,0.0,0.0,0.0,events/second
1781379210,1,0.28531299705982105,0.0,0.0,0.0,events/second
1781379240,1,0.029794867817333336,0.0,0.0,0.0,events/second
1781379270,1,0.015725149447260056,0.0,0.0,0.0,events/second
1781379300,1,0.010681690410107919,0.0,0.0,0.0,events/second
1781379330,1,0.008088412214455906,0.0,0.0,0.0,events/second
1781379360,1,0.006507970673852836,0.0,0.0,0.0,events/second
1781381160,1,0.10174412319585413,0.0,0.0,0.0,events/second
1781381191,1,0.024925238988924233,0.0,0.0,0.0,events/second
1781381221,1,0.014254874252187693,0.0,0.0,0.0,events/second
1781381251,1,0.009981733118958579,0.0,0.0,0.0,events/second
1781381281,1,0.00768036751529359,0.0,0.0,0.0,events/second
1781381311,1,0.0062413203596105495,0.0,0.0,0.0,events/second
1781381341,1,0.005256565469984131,0.0,0.0,0.0,events/second
1781381371,1,0.004540387079285911,0.0,0.0,0.0,events/second
1781381401,1,0.003995733699189104,0.0,0.0,0.0,events/second
1781381431,1,0.0035677669581831604,0.0,0.0,0.0,events/second
1781381461,1,0.0032226766649643005,0.0,0.0,0.0,events/second
1781381491,1,0.002938419918121258,0.0,0.0,0.0,events/second
1781381521,1,0.002700170974961143,0.0,0.0,0.0,events/second
1781381551,1,0.002497760930919815,0.0,0.0,0.0,events/second
1781381581,1,0.002323598772267848,0.0,0.0,0.0,events/second
1781381611,1,0.002172109507428205,0.0,0.0,0.0,events/second
1781381641,1,0.002039152645558602,0.0,0.0,0.0,events/second
1781381671,1,0.0019215105490637074,0.0,0.0,0.0,events/second
1781381701,1,0.0018166950805104595,0.0,0.0,0.0,events/second
1781381731,1,0.0017227299254510228,0.0,0.0,0.0,events/second
1781381761,1,0.0016380126447490132,0.0,0.0,0.0,events/second
1781381791,1,0.0015612481270941556,0.0,0.0,0.0,events/second
1781381821,1,0.0014913551400304978,0.0,0.0,0.0,events/second
1781381851,1,0.0014274470283432816,0.0,0.0,0.0,events/second
1781381882,1,0.0013687801619622871,0.0,0.0,0.0,events/second
1781381912,1,0.0013147702518482478,0.0,0.0,0.0,events/second
1781381942,1,0.0012648487324863956,0.0,0.0,0.0,events/second
1781381972,1,0.0012185844419067542,0.0,0.0,0.0,events/second
1781382002,1,0.0011755898628645364,0.0,0.0,0.0,events/second
1781382032,1,0.0011355283283054547,0.0,0.0,0.0,events/second
1781382062,1,0.0010980960914139977,0.0,0.0,0.0,events/second
1781382092,1,0.0010630426245267159,0.0,0.0,0.0,events/second
1781382122,1,0.0010301718509791384,0.0,0.0,0.0,events/second
1781382152,1,9.99270399705252E-4,0.0,0.0,0.0,events/second
1781382182,1,9.701709286531041E-4,0.0,0.0,0.0,events/second
1781382510,1,0.0880405636684397,0.0,0.0,0.0,events/second
1781382541,1,0.02406064093803623,0.0,0.0,0.0,events/second
1781382571,1,0.013971633423398067,0.0,0.0,0.0,events/second
1781382601,1,0.009841268187624364,0.0,0.0,0.0,events/second
1781382631,1,0.007596626146589456,0.0,0.0,0.0,events/second
1781382661,1,0.0061863595199543875,0.0,0.0,0.0,events/second
1781382691,1,0.005217413861723235,0.0,0.0,0.0,events/second
1781382721,1,0.004510900701611421,0.0,0.0,0.0,events/second
1781382751,1,0.003972789536534933,0.0,0.0,0.0,events/second
1781382781,1,0.0035494826274122286,0.0,0.0,0.0,events/second
1781382811,1,0.003207786396957971,0.0,0.0,0.0,events/second
1781382841,1,0.0029261177734781272,0.0,0.0,0.0,events/second
1781382871,1,0.0026898826833033273,0.0,0.0,0.0,events/second
1781382901,1,0.002488932933577054,0.0,0.0,0.0,events/second
1781382931,1,0.002315964572210071,0.0,0.0,0.0,events/second
1781382961,1,0.0021654282881837456,0.0,0.0,0.0,events/second
1781382991,1,0.0020332532605192863,0.0,0.0,0.0,events/second
1781383021,1,0.0019163156444466135,0.0,0.0,0.0,events/second
1781383051,1,0.0018120752277877275,0.0,0.0,0.0,events/second
1781383081,1,0.001718615916754873,0.0,0.0,0.0,events/second
1781383111,1,0.0016343141634647613,0.0,0.0,0.0,events/second
1781383141,1,0.0015578997229411659,0.0,0.0,0.0,events/second
1781383171,1,0.0014883119956771087,0.0,0.0,0.0,events/second
1781383201,1,0.0014246644487325268,0.0,0.0,0.0,events/second
1781383231,1,0.0013662426441856384,0.0,0.0,0.0,events/second
1781383261,1,0.0013124214174798149,0.0,0.0,0.0,events/second
1781383291,1,0.0012626911979559939,0.0,0.0,0.0,events/second
1781383321,1,0.0012165748734545246,0.0,0.0,0.0,events/second
1781383351,1,0.0011737197197868208,0.0,0.0,0.0,events/second
1781383381,1,0.0011337847282036336,0.0,0.0,0.0,events/second
1781383411,1,0.0010964684727425619,0.0,0.0,0.0,events/second
1781383441,1,0.0010615302482372285,0.0,0.0,0.0,events/second
1781383471,1,0.0010287499588739202,0.0,0.0,0.0,events/second
1781383501,1,9.979424060221598E-4,0.0,0.0,0.0,events/second
1781398740,0,0.0,0.0,0.0,0.0,events/second
1781398772,1,0.02968138455419393,0.0,0.0,0.0,events/second
1781398802,1,0.01569669317450959,0.0,0.0,0.0,events/second
1781398832,1,0.010667571606722465,0.0,0.0,0.0,events/second
1781398862,1,0.008080334569937501,0.0,0.0,0.0,events/second
1781398892,1,0.00650313201568043,0.0,0.0,0.0,events/second
1781398922,1,0.005441220874151287,0.0,0.0,0.0,events/second
1781398952,1,0.004677307681024767,0.0,0.0,0.0,events/second
1781398982,1,0.004101389388925156,0.0,0.0,0.0,events/second
1781399012,1,0.003651953433817599,0.0,0.0,0.0,events/second
1781399042,1,0.0032911690790784075,0.0,0.0,0.0,events/second
1781399072,1,0.002995297001507736,0.0,0.0,0.0,events/second
1781399102,1,0.0027482695125950205,0.0,0.0,0.0,events/second
1781399132,1,0.0025388058647099936,0.0,0.0,0.0,events/second
1781399162,1,0.0023590426265225803,0.0,0.0,0.0,events/second
1781399192,1,0.0022030763640703602,0.0,0.0,0.0,events/second
1781399222,1,0.002066429707147047,0.0,0.0,0.0,events/second
1781399252,1,0.0019456862769271473,0.0,0.0,0.0,events/second
1781399282,1,0.0018383359524730683,0.0,0.0,0.0,events/second
1781399312,1,0.00174221076006122,0.0,0.0,0.0,events/second
1781399342,1,0.0016555800826452034,0.0,0.0,0.0,events/second
1781399372,1,0.0015772275741673008,0.0,0.0,0.0,events/second
1781399670,1,0.09982702970562907,0.0,0.0,0.0,events/second
1781399702,1,0.024702239757760352,0.0,0.0,0.0,events/second
1781399732,1,0.014185053880813639,0.0,0.0,0.0,events/second
1781399762,1,0.009949258720828224,0.0,0.0,0.0,events/second
1781399792,1,0.007661684646010019,0.0,0.0,0.0,events/second
1781399822,1,0.006228832628154111,0.0,0.0,0.0,events/second
1781399852,1,0.00524774253228356,0.0,0.0,0.0,events/second
1781399882,1,0.004533748937383324,0.0,0.0,0.0,events/second
1781399912,1,0.003990704186160137,0.0,0.0,0.0,events/second
1781399942,1,0.003563798283295131,0.0,0.0,0.0,events/second
1781399972,1,0.003219376794321467,0.0,0.0,0.0,events/second
1781400002,1,0.002935647641052529,0.0,0.0,0.0,events/second
1781400032,1,0.0026979519607627307,0.0,0.0,0.0,events/second
1781400062,1,0.0024957973499285806,0.0,0.0,0.0,events/second
1781400092,1,0.002321871585066008,0.0,0.0,0.0,events/second
1781400122,1,0.0021706139829665177,0.0,0.0,0.0,events/second
1781400152,1,0.002037810730788071,0.0,0.0,0.0,events/second
1781400182,1,0.0019203709737619546,0.0,0.0,0.0,events/second
1781400212,1,0.0018156722567310545,0.0,0.0,0.0,events/second
1781400242,1,0.0017218363858835949,0.0,0.0,0.0,events/second
1781400272,1,0.001637201948117993,0.0,0.0,0.0,events/second
1781400302,1,0.0015604945117035846,0.0,0.0,0.0,events/second
1781400332,1,0.001490682554136335,0.0,0.0,0.0,events/second
1781400362,1,0.0014268436819021464,0.0,0.0,0.0,events/second
1781400392,1,0.0013682457195183832,0.0,0.0,0.0,events/second
1781400422,1,0.001314271513950002,0.0,0.0,0.0,events/second
1781400452,1,0.0012643991216550068,0.0,0.0,0.0,events/second
1781400482,1,0.0012181683139178365,0.0,0.0,0.0,events/second
1781400512,1,0.0011751886019496364,0.0,0.0,0.0,events/second
1781400542,1,0.0011351430731292866,0.0,0.0,0.0,events/second
1781400572,1,0.0010977392781878167,0.0,0.0,0.0,events/second
1781400602,1,0.0010627284276105823,0.0,0.0,0.0,events/second
1781400632,1,0.001029882552675678,0.0,0.0,0.0,events/second
1781400662,1,9.989967330554092E-4,0.0,0.0,0.0,events/second
1781400693,1,9.699033222365802E-4,0.0,0.0,0.0,events/second
1781400723,1,9.424606936966104E-4,0.0,0.0,0.0,events/second
1781400753,1,9.165342425685172E-4,0.0,0.0,0.0,events/second
1781400783,1,8.920004403078301E-4,0.0,0.0,0.0,events/second
1781400813,1,8.687398534920693E-4,0.0,0.0,0.0,events/second
1781400843,1,8.466614634866297E-4,0.0,0.0,0.0,events/second
1781400873,1,8.256726937104293E-4,0.0,0.0,0.0,events/second
1781400903,1,8.057057354319648E-4,0.0,0.0,0.0,events/second
1781400933,1,7.866790210862335E-4,0.0,0.0,0.0,events/second
1781400963,1,7.685314168147323E-4,0.0,0.0,0.0,events/second
1781400993,1,7.512071018463154E-4,0.0,0.0,0.0,events/second
1781401023,1,7.346396699470602E-4,0.0,0.0,0.0,events/second
1781401053,1,7.187939886938718E-4,0.0,0.0,0.0,events/second
1781401083,1,7.036125227002154E-4,0.0,0.0,0.0,events/second
1781401113,1,6.890610459218477E-4,0.0,0.0,0.0,events/second
1781401143,1,6.75092846947062E-4,0.0,0.0,0.0,events/second
1781401173,1,6.616853006881478E-4,0.0,0.0,0.0,events/second
1781401203,1,6.487977927000637E-4,0.0,0.0,0.0,events/second
1781401233,1,6.364020682621992E-4,0.0,0.0,0.0,events/second
1781401263,1,6.244758140259632E-4,0.0,0.0,0.0,events/second
1781401293,1,6.129868735463512E-4,0.0,0.0,0.0,events/second
1781401323,1,6.019129159756969E-4,0.0,0.0,0.0,events/second
1781401353,1,5.912343697579406E-4,0.0,0.0,0.0,events/second
1781401383,1,5.809194770292113E-4,0.0,0.0,0.0,events/second
1781401413,1,5.709636592445514E-4,0.0,0.0,0.0,events/second
1781401443,1,5.61341627920508E-4,0.0,0.0,0.0,events/second
1781401473,1,5.520396217676551E-4,0.0,0.0,0.0,events/second
1781401503,1,5.430434189108988E-4,0.0,0.0,0.0,events/second
1781401533,1,5.343358047833906E-4,0.0,0.0,0.0,events/second
1781401563,1,5.258954236025839E-4,0.0,0.0,0.0,events/second
1781401593,1,5.177246074451765E-4,0.0,0.0,0.0,events/second
1781401623,1,5.098005801956796E-4,0.0,0.0,0.0,events/second
1781401653,1,5.021189651555347E-4,0.0,0.0,0.0,events/second
1781401683,1,4.946619077884695E-4,0.0,0.0,0.0,events/second
1781401713,1,4.8742386765639336E-4,0.0,0.0,0.0,events/second
1781401743,1,4.803940049431919E-4,0.0,0.0,0.0,events/second
1781401773,1,4.7356753510302573E-4,0.0,0.0,0.0,events/second
1781401803,1,4.6693083211566864E-4,0.0,0.0,0.0,events/second
1781401833,1,4.6047682426449707E-4,0.0,0.0,0.0,events/second
1781401863,1,4.5419986093201466E-4,0.0,0.0,0.0,events/second
1781401893,1,4.48089293952605E-4,0.0,0.0,0.0,events/second
1781401923,1,4.421448946731116E-4,0.0,0.0,0.0,events/second
1781401953,1,4.3635462139140395E-4,0.0,0.0,0.0,events/second
1781401983,1,4.3071403569324844E-4,0.0,0.0,0.0,events/second
1781402013,1,4.252175015999626E-4,0.0,0.0,0.0,events/second
1781402043,1,4.198596322548358E-4,0.0,0.0,0.0,events/second
1781402073,1,4.1463553687836946E-4,0.0,0.0,0.0,events/second
1781402103,1,4.0953734572728645E-4,0.0,0.0,0.0,events/second
1781402133,1,4.045638467913822E-4,0.0,0.0,0.0,events/second
1781402163,1,3.9970906973905675E-4,0.0,0.0,0.0,events/second
1781402193,1,3.9496970869951217E-4,0.0,0.0,0.0,events/second
1781402223,1,3.903423406537228E-4,0.0,0.0,0.0,events/second
1781402253,1,3.858218527691222E-4,0.0,0.0,0.0,events/second
1781402283,1,3.8140446917211057E-4,0.0,0.0,0.0,events/second
1781402313,1,3.770873151958725E-4,0.0,0.0,0.0,events/second
1781402343,1,3.7286746431749096E-4,0.0,0.0,0.0,events/second
1781402373,1,3.6874050905026255E-4,0.0,0.0,0.0,events/second
1781402403,1,3.6470551167612763E-4,0.0,0.0,0.0,events/second
1781402433,1,3.607569355194819E-4,0.0,0.0,0.0,events/second
1781402463,1,3.56893020849863E-4,0.0,0.0,0.0,events/second
1781402493,1,3.5311077368500795E-4,0.0,0.0,0.0,events/second
1781402523,1,3.494076597151495E-4,0.0,0.0,0.0,events/second
1781402700,1,0.041325883615476094,0.0,0.0,0.0,events/second
1781402732,1,0.01821057377043613,0.0,0.0,0.0,events/second
1781402762,1,0.01177305935273674,0.0,0.0,0.0,events/second
1781402792,1,0.008697360373304971,0.0,0.0,0.0,events/second
1781402822,1,0.006896442451196333,0.0,0.0,0.0,events/second
1781402852,1,0.005713629740617523,0.0,0.0,0.0,events/second
1781402882,1,0.004876950094033621,0.0,0.0,0.0,events/second
1781402913,1,0.0042539906421403,0.0,0.0,0.0,events/second
1781402943,1,0.0037723130382904444,0.0,0.0,0.0,events/second
1781402973,1,0.0033886725978991717,0.0,0.0,0.0,events/second
1781403003,1,0.00307572249940266,0.0,0.0,0.0,events/second
1781403033,1,0.002815783278360792,0.0,0.0,0.0,events/second
1781403063,1,0.0025963795955178223,0.0,0.0,0.0,events/second
1781403093,1,0.002408619916352383,0.0,0.0,0.0,events/second
1781403123,1,0.002246167119930276,0.0,0.0,0.0,events/second
1781403153,1,0.0021042674898421364,0.0,0.0,0.0,events/second
1781403183,1,0.0019792056786042474,0.0,0.0,0.0,events/second
1781403213,1,0.0018682269670845426,0.0,0.0,0.0,events/second
1781403243,1,0.0017690254524898392,0.0,0.0,0.0,events/second
1781403273,1,0.0016798454117287513,0.0,0.0,0.0,events/second
1781403303,1,0.0015992194414606318,0.0,0.0,0.0,events/second
1781403333,1,0.0015259874086210109,0.0,0.0,0.0,events/second
1781403363,1,0.0014591434321963698,0.0,0.0,0.0,events/second
1781403393,1,0.001397929562061001,0.0,0.0,0.0,events/second
1781403423,1,0.001341636058816407,0.0,0.0,0.0,events/second
1781403453,1,0.0012897166900498322,0.0,0.0,0.0,events/second
1781403483,1,0.0012416400098766006,0.0,0.0,0.0,events/second
1781403513,1,0.001197016150057866,0.0,0.0,0.0,events/second
1781403543,1,0.0011555086481801352,0.0,0.0,0.0,events/second
1781403573,1,0.0011167719236358895,0.0,0.0,0.0,events/second
1781403603,1,0.0010805467524642256,0.0,0.0,0.0,events/second
1781403633,1,0.0010466073050958528,0.0,0.0,0.0,events/second
1781403663,1,0.0010147343189809831,0.0,0.0,0.0,events/second
1781403693,1,9.847359712738053E-4,0.0,0.0,0.0,events/second
1781403723,1,9.564722856291585E-4,0.0,0.0,0.0,events/second
1781403753,1,9.297827215611075E-4,0.0,0.0,0.0,events/second
1781403783,1,9.045445551707827E-4,0.0,0.0,0.0,events/second
1781444820,1,0.0712854490865315,0.0,0.0,0.0,events/second
1781444851,1,0.022460710445029057,0.0,0.0,0.0,events/second
1781444881,1,0.013415692430150335,0.0,0.0,0.0,events/second
1781444911,1,0.009563988001357306,0.0,0.0,0.0,events/second
1781444941,1,0.007431145309360722,0.0,0.0,0.0,events/second
1781444971,1,0.006076235179654529,0.0,0.0,0.0,events/second
1781445001,1,0.005139174263452735,0.0,0.0,0.0,events/second
1781445031,1,0.004452246093507561,0.0,0.0,0.0,events/second
1781445061,1,0.003927357162252705,0.0,0.0,0.0,events/second
1781445091,1,0.003513245889444165,0.0,0.0,0.0,events/second
1781445121,1,0.0031780370668586305,0.0,0.0,0.0,events/second
1781445152,1,0.0029012268263535336,0.0,0.0,0.0,events/second
