t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,3,0.13282658338817707,0.0,0.0,0.0,events/second
1781367180,3,0.05700353301627246,0.0,0.0,0.0,events/second
1781367210,3,0.03629827439092494,0.0,0.0,0.0,events/second
1781367240,3,0.02662741040805029,0.0,0.0,0.0,events/second
1781367270,3,0.021026416108939575,0.0,0.0,0.0,events/second
1781367300,3,0.01737049706016062,0.0,0.0,0.0,events/second
1781367330,3,0.014798522525771336,0.0,0.0,0.0,events/second
1781367360,3,0.01289001988405874,0.0,0.0,0.0,events/second
1781367390,3,0.011417618965577294,0.0,0.0,0.0,events/second
1781367420,3,0.01024667684524182,0.0,0.0,0.0,events/second
1781367450,3,0.009292926067626871,0.0,0.0,0.0,events/second
1781367480,3,0.008502366407101353,0.0,0.0,0.0,events/second
1781367510,3,0.007835753303963532,0.0,0.0,0.0,events/second
1781367540,3,0.007266255228883247,0.0,0.0,0.0,events/second
1781367570,3,0.006773694827676196,0.0,0.0,0.0,events/second
1781367600,3,0.0063437374500718655,0.0,0.0,0.0,events/second
1781367630,3,0.005965127277772592,0.0,0.0,0.0,events/second
1781367660,3,0.005629117117613372,0.0,0.0,0.0,events/second
1781367690,3,0.00532901772046521,0.0,0.0,0.0,events/second
1781367720,3,0.005059265448848306,0.0,0.0,0.0,events/second
1781367750,5,0.00802588056394445,0.0,0.0,0.0,events/second
1781367780,5,0.007656998462865982,0.0,0.0,0.0,events/second
1781367810,5,0.00732044334501185,0.0,0.0,0.0,events/second
1781367840,5,0.007012355852074189,0.0,0.0,0.0,events/second
1781367870,5,0.006729110382253741,0.0,0.0,0.0,events/second
1781367900,5,0.006467831746606258,0.0,0.0,0.0,events/second
1781367930,5,0.006226160918627048,0.0,0.0,0.0,events/second
1781367960,5,0.0060018853335876985,0.0,0.0,0.0,events/second
1781367990,5,0.005793113308202656,0.0,0.0,0.0,events/second
1781368020,5,0.005598389549347388,0.0,0.0,0.0,events/second
1781368050,5,0.005416327312320921,0.0,0.0,0.0,events/second
1781368080,5,0.005245791259915672,0.0,0.0,0.0,events/second
1781368110,5,0.0050856562610267,0.0,0.0,0.0,events/second
1781368140,5,0.004934952987720116,0.0,0.0,0.0,events/second
1781368170,5,0.004792975257333013,0.0,0.0,0.0,events/second
1781368200,5,0.004658937258113097,0.0,0.0,0.0,events/second
1781368230,5,0.004532162067618861,0.0,0.0,0.0,events/second
1781368260,5,0.004412113717183955,0.0,0.0,0.0,events/second
1781368290,5,0.004298268032066755,0.0,0.0,0.0,events/second
1781368320,5,0.004190142301357331,0.0,0.0,0.0,events/second
1781368350,5,0.0040873450507631645,0.0,0.0,0.0,events/second
1781368380,5,0.003989466278983377,0.0,0.0,0.0,events/second
1781368410,5,0.003896156182823466,0.0,0.0,0.0,events/second
1781368440,5,0.0038070999161716424,0.0,0.0,0.0,events/second
1781368470,5,0.0037220528859745737,0.0,0.0,0.0,events/second
1781368500,5,0.0036407029011860203,0.0,0.0,0.0,events/second
1781368530,5,0.0035628540899649455,0.0,0.0,0.0,events/second
1781368560,5,0.0034882695272721006,0.0,0.0,0.0,events/second
1781368590,5,0.0034164450380335487,0.0,0.0,0.0,events/second
1781368621,5,0.0033477995844388027,0.0,0.0,0.0,events/second
1781368651,5,0.0032818492719023074,0.0,0.0,0.0,events/second
1781368681,5,0.0032184330652725818,0.0,0.0,0.0,events/second
1781368711,5,0.0031574364446471273,0.0,0.0,0.0,events/second
1781368741,5,0.003098699233074425,0.0,0.0,0.0,events/second
1781368771,5,0.0030421106548148545,0.0,0.0,0.0,events/second
1781368801,5,0.0029875562896362704,0.0,0.0,0.0,events/second
1781368831,5,0.002934930408492417,0.0,0.0,0.0,events/second
1781368861,5,0.0028841029794611952,0.0,0.0,0.0,events/second
1781368891,5,0.0028350259381869944,0.0,0.0,0.0,events/second
1781368921,5,0.0027875851000969225,0.0,0.0,0.0,events/second
1781368951,5,0.0027417153631834816,0.0,0.0,0.0,events/second
1781368981,5,0.002697314695583615,0.0,0.0,0.0,events/second
1781369011,5,0.0026543391214667454,0.0,0.0,0.0,events/second
1781369041,5,0.002612704683068721,0.0,0.0,0.0,events/second
1781369071,5,0.0025723673834225844,0.0,0.0,0.0,events/second
1781369101,5,0.002533253438404208,0.0,0.0,0.0,events/second
1781369131,5,0.002495298935656669,0.0,0.0,0.0,events/second
1781369161,5,0.0024584753721228754,0.0,0.0,0.0,events/second
1781369191,5,0.002422724349511241,0.0,0.0,0.0,events/second
1781369221,5,0.002388000548195519,0.0,0.0,0.0,events/second
1781369251,5,0.0023542453538362785,0.0,0.0,0.0,events/second
1781369281,5,0.002321447447573766,0.0,0.0,0.0,events/second
1781369311,5,0.0022895525685692015,0.0,0.0,0.0,events/second
1781369341,5,0.0022585165540354242,0.0,0.0,0.0,events/second
1781369371,5,0.0022283084955974923,0.0,0.0,0.0,events/second
1781369401,5,0.002198892565123158,0.0,0.0,0.0,events/second
1781369431,9,0.003906431916125344,0.0,0.0,0.0,events/second
1781369461,9,0.0038562036426626383,0.0,0.0,0.0,events/second
1781369491,9,0.003807244496768451,0.0,0.0,0.0,events/second
1781369521,9,0.0037595068593931818,0.0,0.0,0.0,events/second
1781371260,8,0.29129658740003456,0.0,0.0,0.0,events/second
1781371290,8,0.13905798097955896,0.0,0.0,0.0,events/second
1781371320,8,0.09137360670583407,0.0,0.0,0.0,events/second
1781371350,8,0.0680387099470392,0.0,0.0,0.0,events/second
1781371380,8,0.05420508340719803,0.0,0.0,0.0,events/second
1781371410,8,0.04504344219850222,0.0,0.0,0.0,events/second
1781371440,8,0.038531503799414585,0.0,0.0,0.0,events/second
1781371470,8,0.03366183708354103,0.0,0.0,0.0,events/second
1781371500,8,0.02988262874773245,0.0,0.0,0.0,events/second
1781371530,8,0.02686973808890398,0.0,0.0,0.0,events/second
1781371560,8,0.024409394322522315,0.0,0.0,0.0,events/second
1781371590,8,0.02236135244523094,0.0,0.0,0.0,events/second
1781371620,8,0.020630537215558117,0.0,0.0,0.0,events/second
1781371650,8,0.019148430730068576,0.0,0.0,0.0,events/second
