t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,1,0.047931862365191036,0.0,0.0,0.0,events/second
1781367180,1,0.01963880054870887,0.0,0.0,0.0,events/second
1781367210,1,0.012354356483555349,0.0,0.0,0.0,events/second
1781367240,1,0.009012379159778396,0.0,0.0,0.0,events/second
1781367270,1,0.0070936010871136615,0.0,0.0,0.0,events/second
1781367300,1,0.005847990322043856,0.0,0.0,0.0,events/second
1781367330,1,0.004974697056582239,0.0,0.0,0.0,events/second
1781367360,1,0.004328391132765471,0.0,0.0,0.0,events/second
1781367390,1,0.003830744257469669,0.0,0.0,0.0,events/second
1781367420,1,0.0034355667635302158,0.0,0.0,0.0,events/second
1781367450,1,0.0031142930953739017,0.0,0.0,0.0,events/second
1781367480,1,0.002847891194553498,0.0,0.0,0.0,events/second
1781367510,1,0.002623600960721114,0.0,0.0,0.0,events/second
1781367540,1,0.00243212600177829,0.0,0.0,0.0,events/second
1781367570,1,0.0022666232475641746,0.0,0.0,0.0,events/second
1781367600,1,0.002122228708121007,0.0,0.0,0.0,events/second
1781367630,1,0.0019951470919998917,0.0,0.0,0.0,events/second
1781367660,1,0.0018823939569905864,0.0,0.0,0.0,events/second
1781367690,1,0.0017817341515619822,0.0,0.0,0.0,events/second
1781367720,1,0.0016912849646657667,0.0,0.0,0.0,events/second
1781367750,1,0.0016095822194659537,0.0,0.0,0.0,events/second
1781367780,1,0.0015354075389308265,0.0,0.0,0.0,events/second
1781367810,1,0.0014677521250594488,0.0,0.0,0.0,events/second
1781367840,1,0.0014058331571354607,0.0,0.0,0.0,events/second
1781367870,1,0.0013489172465856378,0.0,0.0,0.0,events/second
1781367900,1,0.0012964255736217648,0.0,0.0,0.0,events/second
1781367930,1,0.0012478808872056696,0.0,0.0,0.0,events/second
1781367960,1,0.0012028387654019128,0.0,0.0,0.0,events/second
1781367990,1,0.0011609182609806936,0.0,0.0,0.0,events/second
1781368020,1,0.0011218189694011838,0.0,0.0,0.0,events/second
1781368050,1,0.001085271178645532,0.0,0.0,0.0,events/second
1781368080,1,0.001051037796628024,0.0,0.0,0.0,events/second
1781368110,1,0.0010188977214193404,0.0,0.0,0.0,events/second
1781368140,1,9.88654395928585E-4,0.0,0.0,0.0,events/second
1781368170,1,9.601645043546633E-4,0.0,0.0,0.0,events/second
1781368200,1,9.332700243390523E-4,0.0,0.0,0.0,events/second
1781368230,1,9.078357755400132E-4,0.0,0.0,0.0,events/second
1781368260,1,8.837525294783679E-4,0.0,0.0,0.0,events/second
1781368290,1,8.609150894094064E-4,0.0,0.0,0.0,events/second
1781368320,1,8.392274644080806E-4,0.0,0.0,0.0,events/second
1781368350,1,8.18610401106616E-4,0.0,0.0,0.0,events/second
1781368380,1,7.989798687675597E-4,0.0,0.0,0.0,events/second
1781368410,1,7.802678406596572E-4,0.0,0.0,0.0,events/second
1781368440,1,7.62409603229998E-4,0.0,0.0,0.0,events/second
1781368470,1,7.453563158888889E-4,0.0,0.0,0.0,events/second
1781368500,1,7.290459171000629E-4,0.0,0.0,0.0,events/second
1781368530,1,7.134377534103923E-4,0.0,0.0,0.0,events/second
1781368560,1,6.98484728512794E-4,0.0,0.0,0.0,events/second
1781368590,1,6.841242526485136E-4,0.0,0.0,0.0,events/second
1781368621,1,6.7032512328527E-4,0.0,0.0,0.0,events/second
1781368651,1,6.57105099005225E-4,0.0,0.0,0.0,events/second
1781368681,1,6.443947230994008E-4,0.0,0.0,0.0,events/second
1781368711,1,6.321682486607867E-4,0.0,0.0,0.0,events/second
1781368741,1,6.203957212893828E-4,0.0,0.0,0.0,events/second
1781368771,1,6.090542496256122E-4,0.0,0.0,0.0,events/second
1781368801,1,5.981204991239174E-4,0.0,0.0,0.0,events/second
1781368831,1,5.875741882686563E-4,0.0,0.0,0.0,events/second
1781368861,1,5.77389095790151E-4,0.0,0.0,0.0,events/second
1781368891,1,5.675537574859993E-4,0.0,0.0,0.0,events/second
1781368921,1,5.580473854793174E-4,0.0,0.0,0.0,events/second
1781368951,1,5.488564021418695E-4,0.0,0.0,0.0,events/second
1781368981,1,5.399594850018182E-4,0.0,0.0,0.0,events/second
1781369011,1,5.313489860603298E-4,0.0,0.0,0.0,events/second
1781369041,1,5.230069977316956E-4,0.0,0.0,0.0,events/second
1781369071,1,5.149250733599373E-4,0.0,0.0,0.0,events/second
1781369101,1,5.070886256960621E-4,0.0,0.0,0.0,events/second
1781369131,1,4.99485022450608E-4,0.0,0.0,0.0,events/second
1781369161,1,4.921075503923322E-4,0.0,0.0,0.0,events/second
1781369191,1,4.849454374210471E-4,0.0,0.0,0.0,events/second
1781369221,1,4.7798935407197346E-4,0.0,0.0,0.0,events/second
1781369251,1,4.7122737855056736E-4,0.0,0.0,0.0,events/second
1781369281,1,4.646573618472368E-4,0.0,0.0,0.0,events/second
1781369311,1,4.582683552990227E-4,0.0,0.0,0.0,events/second
1781369341,1,4.520513593271553E-4,0.0,0.0,0.0,events/second
1781369371,1,4.460006066882029E-4,0.0,0.0,0.0,events/second
1781369401,1,4.401085389147461E-4,0.0,0.0,0.0,events/second
1781369431,1,4.3436960012712176E-4,0.0,0.0,0.0,events/second
1781369461,1,4.2878039751585766E-4,0.0,0.0,0.0,events/second
1781369491,1,4.2333240090166934E-4,0.0,0.0,0.0,events/second
1781369521,1,4.1802062032005337E-4,0.0,0.0,0.0,events/second
1781371260,2,0.07565747404146671,0.0,0.0,0.0,events/second
1781371290,2,0.035375369710642,0.0,0.0,0.0,events/second
