t,value
1781367150,9223372036854775807
1781367180,9223372036854775807
1781367210,9223372036854775807
1781367240,9223372036854775807
1781367270,9223372036854775807
1781367300,9223372036854775807
1781367330,9223372036854775807
1781367360,9223372036854775807
1781367390,9223372036854775807
1781367420,9223372036854775807
1781367450,9223372036854775807
1781367480,9223372036854775807
1781367510,9223372036854775807
1781367540,9223372036854775807
1781367570,9223372036854775807
1781367600,9223372036854775807
1781367630,9223372036854775807
1781367660,9223372036854775807
1781367690,9223372036854775807
1781367720,9223372036854775807
1781367750,9223372036854775807
1781367780,9223372036854775807
1781367810,9223372036854775807
1781367840,9223372036854775807
1781367870,9223372036854775807
1781367900,9223372036854775807
1781367930,9223372036854775807
1781367960,9223372036854775807
1781367990,9223372036854775807
1781368020,9223372036854775807
1781368050,9223372036854775807
1781368080,9223372036854775807
1781368110,9223372036854775807
1781368140,9223372036854775807
1781368170,9223372036854775807
1781368200,9223372036854775807
1781368230,9223372036854775807
1781368260,9223372036854775807
1781368290,9223372036854775807
1781368320,9223372036854775807
1781368350,9223372036854775807
1781368380,9223372036854775807
1781368410,9223372036854775807
1781368440,9223372036854775807
1781368470,9223372036854775807
1781368500,9223372036854775807
1781368530,9223372036854775807
1781368560,9223372036854775807
1781368590,9223372036854775807
1781368621,9223372036854775807
1781368651,9223372036854775807
1781368681,9223372036854775807
1781368711,9223372036854775807
1781368741,9223372036854775807
1781368771,9223372036854775807
1781368801,9223372036854775807
1781368831,9223372036854775807
1781368861,9223372036854775807
1781368891,9223372036854775807
1781368921,9223372036854775807
1781368951,9223372036854775807
1781368981,9223372036854775807
1781369011,9223372036854775807
1781369041,9223372036854775807
1781369071,9223372036854775807
1781369101,9223372036854775807
1781369131,9223372036854775807
1781369161,9223372036854775807
1781369191,9223372036854775807
1781369221,9223372036854775807
1781369251,9223372036854775807
1781369281,9223372036854775807
1781369311,9223372036854775807
1781369341,9223372036854775807
1781369371,9223372036854775807
1781369401,9223372036854775807
1781369431,9223372036854775807
1781369461,9223372036854775807
1781369491,9223372036854775807
1781369521,9223372036854775807
1781369551,9223372036854775807
1781371260,9223372036854775807
1781371290,9223372036854775807
1781371320,9223372036854775807
1781371350,9223372036854775807
1781371380,9223372036854775807
1781371410,9223372036854775807
1781371440,9223372036854775807
1781371470,9223372036854775807
1781371500,9223372036854775807
1781371530,9223372036854775807
1781371560,9223372036854775807
1781371590,9223372036854775807
1781371620,9223372036854775807
1781371650,9223372036854775807
1781371680,9223372036854775807
1781371710,9223372036854775807
1781371740,9223372036854775807
1781371770,9223372036854775807
1781371800,9223372036854775807
1781371830,9223372036854775807
1781371860,9223372036854775807
1781371890,9223372036854775807
1781371920,9223372036854775807
1781371950,9223372036854775807
1781371980,9223372036854775807
1781372010,9223372036854775807
1781372040,9223372036854775807
1781372070,9223372036854775807
1781372100,9223372036854775807
1781372130,9223372036854775807
1781372160,9223372036854775807
1781372190,9223372036854775807
1781372220,9223372036854775807
1781372250,9223372036854775807
1781372280,9223372036854775807
1781372580,9223372036854775807
1781372611,9223372036854775807
1781372641,9223372036854775807
1781372671,9223372036854775807
1781372701,9223372036854775807
1781372731,9223372036854775807
1781372761,9223372036854775807
1781372791,9223372036854775807
1781372821,9223372036854775807
1781372851,9223372036854775807
1781372881,9223372036854775807
1781373780,9223372036854775807
1781373810,9223372036854775807
1781373840,9223372036854775807
1781373870,9223372036854775807
1781373900,9223372036854775807
1781373930,9223372036854775807
1781373960,9223372036854775807
1781373990,9223372036854775807
1781374020,9223372036854775807
1781374050,9223372036854775807
1781374080,9223372036854775807
1781374110,9223372036854775807
1781374200,9223372036854775807
1781374231,9223372036854775807
1781379210,9223372036854775807
1781379240,9223372036854775807
1781379270,9223372036854775807
1781379300,9223372036854775807
1781379330,9223372036854775807
1781379360,9223372036854775807
1781381160,9223372036854775807
1781381191,9223372036854775807
1781381221,9223372036854775807
1781381251,9223372036854775807
1781381281,9223372036854775807
1781381311,9223372036854775807
1781381341,9223372036854775807
1781381371,9223372036854775807
1781381401,9223372036854775807
1781381431,9223372036854775807
1781381461,9223372036854775807
1781381491,9223372036854775807
1781381521,9223372036854775807
1781381551,9223372036854775807
1781381581,9223372036854775807
1781381611,9223372036854775807
1781381641,9223372036854775807
1781381671,9223372036854775807
1781381701,9223372036854775807
1781381731,9223372036854775807
1781381761,9223372036854775807
1781381791,9223372036854775807
1781381821,9223372036854775807
1781381851,9223372036854775807
1781381882,9223372036854775807
1781381912,9223372036854775807
1781381942,9223372036854775807
1781381972,9223372036854775807
1781382002,9223372036854775807
1781382032,9223372036854775807
1781382062,9223372036854775807
1781382092,9223372036854775807
1781382122,9223372036854775807
1781382152,9223372036854775807
1781382182,9223372036854775807
1781382510,9223372036854775807
1781382541,9223372036854775807
1781382571,9223372036854775807
1781382601,9223372036854775807
1781382631,9223372036854775807
1781382661,9223372036854775807
1781382691,9223372036854775807
1781382721,9223372036854775807
1781382751,9223372036854775807
1781382781,9223372036854775807
1781382811,9223372036854775807
1781382841,9223372036854775807
1781382871,9223372036854775807
1781382901,9223372036854775807
1781382931,9223372036854775807
1781382961,9223372036854775807
1781382991,9223372036854775807
1781383021,9223372036854775807
1781383051,9223372036854775807
1781383081,9223372036854775807
1781383111,9223372036854775807
1781383141,9223372036854775807
1781383171,9223372036854775807
1781383201,9223372036854775807
1781383231,9223372036854775807
1781383261,9223372036854775807
1781383291,9223372036854775807
1781383321,9223372036854775807
1781383351,9223372036854775807
1781383381,9223372036854775807
1781383411,9223372036854775807
1781383441,9223372036854775807
1781383471,9223372036854775807
1781383501,9223372036854775807
1781398740,9223372036854775807
1781398772,9223372036854775807
1781398802,9223372036854775807
1781398832,9223372036854775807
1781398862,9223372036854775807
1781398892,9223372036854775807
1781398922,9223372036854775807
1781398952,9223372036854775807
1781398982,9223372036854775807
1781399012,9223372036854775807
1781399042,9223372036854775807
1781399072,9223372036854775807
1781399102,9223372036854775807
1781399132,9223372036854775807
1781399162,9223372036854775807
1781399192,9223372036854775807
1781399222,9223372036854775807
1781399252,9223372036854775807
1781399282,9223372036854775807
1781399312,9223372036854775807
1781399342,9223372036854775807
1781399372,9223372036854775807
1781399402,9223372036854775807
1781399670,9223372036854775807
1781399702,9223372036854775807
1781399732,9223372036854775807
1781399762,9223372036854775807
1781399792,9223372036854775807
1781399822,9223372036854775807
1781399852,9223372036854775807
1781399882,9223372036854775807
1781399912,9223372036854775807
1781399942,9223372036854775807
1781399972,9223372036854775807
1781400002,9223372036854775807
1781400032,9223372036854775807
1781400062,9223372036854775807
1781400092,9223372036854775807
1781400122,9223372036854775807
1781400152,9223372036854775807
1781400182,9223372036854775807
1781400212,9223372036854775807
1781400242,9223372036854775807
1781400272,9223372036854775807
1781400302,9223372036854775807
1781400332,9223372036854775807
1781400362,9223372036854775807
1781400392,9223372036854775807
1781400422,9223372036854775807
1781400452,9223372036854775807
1781400482,9223372036854775807
1781400512,9223372036854775807
1781400542,9223372036854775807
1781400572,9223372036854775807
1781400602,9223372036854775807
1781400632,9223372036854775807
1781400662,9223372036854775807
1781400693,9223372036854775807
1781400723,9223372036854775807
1781400753,9223372036854775807
1781400783,9223372036854775807
1781400813,9223372036854775807
1781400843,9223372036854775807
1781400873,9223372036854775807
1781400903,9223372036854775807
1781400933,9223372036854775807
1781400963,9223372036854775807
1781400993,9223372036854775807
1781401023,9223372036854775807
1781401053,9223372036854775807
1781401083,9223372036854775807
1781401113,9223372036854775807
1781401143,9223372036854775807
1781401173,9223372036854775807
1781401203,9223372036854775807
1781401233,9223372036854775807
1781401263,9223372036854775807
1781401293,9223372036854775807
1781401323,9223372036854775807
1781401353,9223372036854775807
1781401383,9223372036854775807
1781401413,9223372036854775807
1781401443,9223372036854775807
1781401473,9223372036854775807
1781401503,9223372036854775807
1781401533,9223372036854775807
1781401563,9223372036854775807
1781401593,9223372036854775807
1781401623,9223372036854775807
1781401653,9223372036854775807
1781401683,9223372036854775807
1781401713,9223372036854775807
1781401743,9223372036854775807
1781401773,9223372036854775807
1781401803,9223372036854775807
1781401833,9223372036854775807
1781401863,9223372036854775807
1781401893,9223372036854775807
1781401923,9223372036854775807
1781401953,9223372036854775807
1781401983,9223372036854775807
1781402013,9223372036854775807
