t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,1,0.03774662066017949,0.0,0.0,0.0,events/second
1781371290,1,0.017686992473519673,0.0,0.0,0.0,events/second
1781371320,1,0.011552413699512962,0.0,0.0,0.0,events/second
1781371350,1,0.008577165626763101,0.0,0.0,0.0,events/second
1781371380,1,0.0068214798610637,0.0,0.0,0.0,events/second
1781371410,1,0.005662029212781099,0.0,0.0,0.0,events/second
1781371440,1,0.0048395340990782625,0.0,0.0,0.0,events/second
1781371470,1,0.004225146930614739,0.0,0.0,0.0,events/second
1781371500,1,0.003749144574553575,0.0,0.0,0.0,events/second
1781371530,1,0.003369920633543354,0.0,0.0,0.0,events/second
1781371560,1,0.0030604109573023407,0.0,0.0,0.0,events/second
1781371590,1,0.0028029314960215292,0.0,0.0,0.0,events/second
1781371620,1,0.0025854316593263158,0.0,0.0,0.0,events/second
1781371650,1,0.00239925116050717,0.0,0.0,0.0,events/second
1781371680,1,0.0022380461439633313,0.0,0.0,0.0,events/second
1781371710,1,0.002097205430603233,0.0,0.0,0.0,events/second
1781371740,1,0.0019729918253897816,0.0,0.0,0.0,events/second
1781371770,1,0.0018626625833650702,0.0,0.0,0.0,events/second
1781371800,1,0.0017640061840080358,0.0,0.0,0.0,events/second
1781371830,1,0.0016752922584368803,0.0,0.0,0.0,events/second
1781371860,1,0.001595072800722483,0.0,0.0,0.0,events/second
1781371890,1,0.0015221639248576078,0.0,0.0,0.0,events/second
1781371920,1,0.0014556557230768787,0.0,0.0,0.0,events/second
1781371950,1,0.001394727487994661,0.0,0.0,0.0,events/second
1781371980,1,0.0013386786557870324,0.0,0.0,0.0,events/second
1781372010,1,0.0012869625535692306,0.0,0.0,0.0,events/second
1781372040,1,0.0012391110799806755,0.0,0.0,0.0,events/second
1781372070,1,0.0011946826350381632,0.0,0.0,0.0,events/second
1781372100,1,0.001153312140959788,0.0,0.0,0.0,events/second
1781372130,1,0.001114717025489232,0.0,0.0,0.0,events/second
1781372160,1,0.0010786221085957973,0.0,0.0,0.0,events/second
1781372190,1,0.001044793910060122,0.0,0.0,0.0,events/second
1781372220,1,0.0010130176577973352,0.0,0.0,0.0,events/second
1781372250,1,9.831277210235465E-4,0.0,0.0,0.0,events/second
1781372280,1,9.549537027921295E-4,0.0,0.0,0.0,events/second
1781372580,1,0.0407267804752654,0.0,0.0,0.0,events/second
1781372611,1,0.018293641959854355,0.0,0.0,0.0,events/second
1781372641,1,0.011806158527226681,0.0,0.0,0.0,events/second
1781372671,1,0.008717849737271077,0.0,0.0,0.0,events/second
1781372701,1,0.00691003825548508,0.0,0.0,0.0,events/second
1781372731,1,0.0057228576884989215,0.0,0.0,0.0,events/second
1781372761,1,0.0048835795486739065,0.0,0.0,0.0,events/second
1781372791,1,0.004258982430212368,0.0,0.0,0.0,events/second
1781372821,1,0.00377636126651293,0.0,0.0,0.0,events/second
1781372851,1,0.003391709716860836,0.0,0.0,0.0,events/second
1781372881,1,0.0030782684962082944,0.0,0.0,0.0,events/second
1781373780,1,0.052730782756620624,0.0,0.0,0.0,events/second
1781373810,1,0.0204038488506464,0.0,0.0,0.0,events/second
1781373840,1,0.012652790415525432,0.0,0.0,0.0,events/second
1781373870,1,0.009170275524669612,0.0,0.0,0.0,events/second
1781373900,1,0.007190633494041428,0.0,0.0,0.0,events/second
1781373930,1,0.005914465146991374,0.0,0.0,0.0,events/second
1781373960,1,0.005022378399775068,0.0,0.0,0.0,events/second
1781373990,1,0.0043641889169277895,0.0,0.0,0.0,events/second
1781374020,1,0.003858693116152718,0.0,0.0,0.0,events/second
1781374050,1,0.0034579757953928643,0.0,0.0,0.0,events/second
1781374080,1,0.003132816850902545,0.0,0.0,0.0,events/second
1781374110,1,0.0028635556935758854,0.0,0.0,0.0,events/second
1781374200,1,0.03741969639604169,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,1,0.029823039774466244,0.0,0.0,0.0,events/second
1781379270,1,0.0157327041753612,0.0,0.0,0.0,events/second
1781379300,1,0.010685282388981414,0.0,0.0,0.0,events/second
1781379330,1,0.008090469035735393,0.0,0.0,0.0,events/second
1781379360,1,0.006509316215058911,0.0,0.0,0.0,events/second
1781381160,1,0.10080472309643158,0.0,0.0,0.0,events/second
1781381191,1,0.024940918829136193,0.0,0.0,0.0,events/second
1781381221,1,0.014259913762629644,0.0,0.0,0.0,events/second
1781381251,1,0.009984286470361496,0.0,0.0,0.0,events/second
1781381281,1,0.007681760918201251,0.0,0.0,0.0,events/second
1781381311,1,0.006242321098434127,0.0,0.0,0.0,events/second
1781381341,1,0.005257278644058338,0.0,0.0,0.0,events/second
1781381371,1,0.004540918242436286,0.0,0.0,0.0,events/second
1781381401,1,0.0039961348871865865,0.0,0.0,0.0,events/second
1781381431,1,0.0035680945273360754,0.0,0.0,0.0,events/second
1781381461,1,0.0032229448955285104,0.0,0.0,0.0,events/second
1781381491,1,0.0029386415016266236,0.0,0.0,0.0,events/second
1781381521,1,0.0027003584558427905,0.0,0.0,0.0,events/second
1781381551,1,0.002497923375756318,0.0,0.0,0.0,events/second
1781381581,1,0.0023237388169166082,0.0,0.0,0.0,events/second
1781381611,1,0.0021722300157176956,0.0,0.0,0.0,events/second
1781381641,1,0.002039259986614656,0.0,0.0,0.0,events/second
1781381671,1,0.001921604917909354,0.0,0.0,0.0,events/second
1781381701,1,0.0018167786503319313,0.0,0.0,0.0,events/second
1781381731,1,0.0017228054957389878,0.0,0.0,0.0,events/second
1781381761,1,0.001638082037375568,0.0,0.0,0.0,events/second
1781381791,1,0.0015613107678847126,0.0,0.0,0.0,events/second
1781381821,1,0.0014914118126078892,0.0,0.0,0.0,events/second
1781381851,1,0.0014274989037807667,0.0,0.0,0.0,events/second
1781381882,1,0.001368827728972419,0.0,0.0,0.0,events/second
1781381912,1,0.0013148136561839771,0.0,0.0,0.0,events/second
1781381942,1,0.0012648883135039002,0.0,0.0,0.0,events/second
1781381972,1,0.0012186228299138763,0.0,0.0,0.0,events/second
1781382002,1,0.0011756253491546301,0.0,0.0,0.0,events/second
1781382032,1,0.0011355616748359896,0.0,0.0,0.0,events/second
1781382062,1,0.0010981248518202678,0.0,0.0,0.0,events/second
1781382092,1,0.0010630704526343384,0.0,0.0,0.0,events/second
1781382122,1,0.0010301989448706528,0.0,0.0,0.0,events/second
1781382152,1,9.992960060566229E-4,0.0,0.0,0.0,events/second
1781382182,1,9.701945710853433E-4,0.0,0.0,0.0,events/second
1781382510,1,0.08759335130024797,0.0,0.0,0.0,events/second
1781382541,1,0.02407711155329315,0.0,0.0,0.0,events/second
1781382571,1,0.013977216686734246,0.0,0.0,0.0,events/second
1781382601,1,0.009843976932738793,0.0,0.0,0.0,events/second
1781382631,1,0.007598280900799511,0.0,0.0,0.0,events/second
1781382661,1,0.00618747500434121,0.0,0.0,0.0,events/second
1781382691,1,0.005218198152128748,0.0,0.0,0.0,events/second
1781382721,1,0.004511475506396433,0.0,0.0,0.0,events/second
1781382751,1,0.003973243472806083,0.0,0.0,0.0,events/second
1781382781,1,0.003549846967446175,0.0,0.0,0.0,events/second
1781382811,1,0.0032080838775832396,0.0,0.0,0.0,events/second
1781382841,1,0.0029263647999541193,0.0,0.0,0.0,events/second
1781382871,1,0.0026900847981576985,0.0,0.0,0.0,events/second
1781382901,1,0.00248911172797705,0.0,0.0,0.0,events/second
1781382931,1,0.0023161209874927374,0.0,0.0,0.0,events/second
1781382961,1,0.002165559993685487,0.0,0.0,0.0,events/second
1781382991,1,0.002033373004881223,0.0,0.0,0.0,events/second
1781383021,1,0.0019164218897164704,0.0,0.0,0.0,events/second
1781383051,1,0.0018121703151504495,0.0,0.0,0.0,events/second
1781383081,1,0.001718701184911852,0.0,0.0,0.0,events/second
1781383111,1,0.0016343904791431708,0.0,0.0,0.0,events/second
1781383141,1,0.0015579693312197877,0.0,0.0,0.0,events/second
1781383171,1,0.001488375417015536,0.0,0.0,0.0,events/second
1781383201,1,0.0014247235985783543,0.0,0.0,0.0,events/second
1781383231,1,0.0013662970502683978,0.0,0.0,0.0,events/second
1781383261,1,0.0013124712634580925,0.0,0.0,0.0,events/second
1781383291,1,0.0012627372451129324,0.0,0.0,0.0,events/second
1781383321,1,0.0012166175022916283,0.0,0.0,0.0,events/second
1781383351,1,0.001173759412920623,0.0,0.0,0.0,events/second
1781383381,1,0.0011338219171073277,0.0,0.0,0.0,events/second
1781383411,1,0.0010965033098053285,0.0,0.0,0.0,events/second
1781383441,1,0.001061562833918736,0.0,0.0,0.0,events/second
1781383471,1,0.0010287804937690948,0.0,0.0,0.0,events/second
1781383501,1,9.979712119483873E-4,0.0,0.0,0.0,events/second
1781398740,0,0.0,0.0,0.0,0.0,events/second
1781398772,1,0.02969390227907203,0.0,0.0,0.0,events/second
1781398802,1,0.015700221404365243,0.0,0.0,0.0,events/second
1781398832,1,0.010669232870388455,0.0,0.0,0.0,events/second
1781398862,1,0.008081285389277082,0.0,0.0,0.0,events/second
1781398892,1,0.006503716834823615,0.0,0.0,0.0,events/second
